finding_id,mapping_id,severity,issue_type,sql_check,observed_signal,root_cause,business_impact,owner_group,status,aging_days
DQ-001,MAP-01-01,Low,Null drift,AUD-01-01_null_drift,target required field has higher null rate than approved mapping,Destination load deduplicates on the wrong business key,Stakeholder review requires exception note,Customer Ops,Ready for retest,9
DQ-002,MAP-01-01,Low,Mapping ambiguity,AUD-01-01_mapping_ambiguity,business rule needs stakeholder decision before sign-off,Destination load deduplicates on the wrong business key,Stakeholder review requires exception note,Customer Ops,In review,3
DQ-003,MAP-01-02,Low,Row count variance,AUD-01-02_row_count_variance,count parity failed between load-ready file and target table,Destination load deduplicates on the wrong business key,Development team needs clarified transformation rule,Customer Ops,In review,13
DQ-004,MAP-01-02,Low,Null drift,AUD-01-02_null_drift,target required field has higher null rate than approved mapping,Reference lookup uses stale code set,Downstream validation file cannot be certified,Customer Ops,Ready for retest,8
DQ-005,MAP-01-03,Low,Row count variance,AUD-01-03_row_count_variance,count parity failed between load-ready file and target table,Reference lookup uses stale code set,Downstream validation file cannot be certified,Customer Ops,In review,2
DQ-006,MAP-01-03,Low,Null drift,AUD-01-03_null_drift,target required field has higher null rate than approved mapping,Transformation rule handles nulls differently than STTM,Destination report would overstate converted volume,Customer Ops,In review,6
DQ-007,MAP-01-06,Low,Reference miss,AUD-01-06_reference_miss,foreign key lookup failed against target dimension,Transformation rule handles nulls differently than STTM,Stakeholder review requires exception note,Customer Ops,Open,3
DQ-008,MAP-01-07,Low,Mapping ambiguity,AUD-01-07_mapping_ambiguity,business rule needs stakeholder decision before sign-off,Reference lookup uses stale code set,Destination report would overstate converted volume,Customer Ops,In review,12
DQ-009,MAP-01-08,Low,Row count variance,AUD-01-08_row_count_variance,count parity failed between load-ready file and target table,Reference lookup uses stale code set,Destination report would overstate converted volume,Customer Ops,Open,7
DQ-010,MAP-01-08,Low,Null drift,AUD-01-08_null_drift,target required field has higher null rate than approved mapping,Destination load deduplicates on the wrong business key,Downstream validation file cannot be certified,Customer Ops,Ready for retest,8
DQ-011,MAP-02-01,Low,Null drift,AUD-02-01_null_drift,target required field has higher null rate than approved mapping,Destination load deduplicates on the wrong business key,Sign-off at risk for UAT cycle,Procurement,Open,14
DQ-012,MAP-02-01,Low,Duplicate business key,AUD-02-01_duplicate_business_key,business key repeats after transformation logic,Destination load deduplicates on the wrong business key,Development team needs clarified transformation rule,Procurement,Ready for retest,12
DQ-013,MAP-02-02,Low,Row count variance,AUD-02-02_row_count_variance,count parity failed between load-ready file and target table,Source extract filter excludes inactive records,Stakeholder review requires exception note,Procurement,In review,8
DQ-014,MAP-02-02,Low,Mapping ambiguity,AUD-02-02_mapping_ambiguity,business rule needs stakeholder decision before sign-off,Source extract filter excludes inactive records,Downstream validation file cannot be certified,Procurement,In review,13
DQ-015,MAP-02-04,Low,Duplicate business key,AUD-02-04_duplicate_business_key,business key repeats after transformation logic,Destination load deduplicates on the wrong business key,Development team needs clarified transformation rule,Procurement,Ready for retest,12
