incident_id,mapping_id,verification_phase,severity,root_cause_category,status,opened_date,aging_days,business_impact,next_update,resolution_path
INC-001,MAP-02-07,Sign-off review,Medium,Reference data,Ready for retest,2026-05-11,7,Stakeholder review requires exception note,Confirm owner decision in STTM sheet,Patch transform and rerun validation query
INC-002,MAP-02-07,UAT cycle 4,Medium,Reference data,Owner assigned,2026-05-12,3,Destination report would overstate converted volume,Publish exception note for stakeholder review,Refresh reference data and re-stage impacted records
INC-003,MAP-02-01,Mock cutover,Medium,Reference data,Fix in progress,2026-05-15,14,Sign-off at risk for UAT cycle,Publish exception note for stakeholder review,Correct source extract filter and reload batch
INC-004,MAP-03-01,Mock cutover,Medium,Snowflake transform,Owner assigned,2026-05-12,14,Development team needs clarified transformation rule,Confirm owner decision in STTM sheet,"Update STTM rule, collect sign-off, and retest"
INC-005,MAP-03-07,SIT exit,Medium,Load sequencing,Owner assigned,2026-05-13,14,Destination report would overstate converted volume,Retest Snowflake audit after transform patch,"Update STTM rule, collect sign-off, and retest"
INC-006,MAP-05-06,Sign-off review,Medium,Snowflake transform,Fix in progress,2026-05-19,14,Sign-off at risk for UAT cycle,Confirm owner decision in STTM sheet,"Update STTM rule, collect sign-off, and retest"
INC-007,MAP-06-02,UAT cycle 4,Medium,Snowflake transform,Owner assigned,2026-05-12,14,Downstream validation file cannot be certified,Publish exception note for stakeholder review,Patch transform and rerun validation query
INC-008,MAP-01-02,UAT cycle 4,Medium,Snowflake transform,Open,2026-05-19,13,Development team needs clarified transformation rule,Confirm owner decision in STTM sheet,Refresh reference data and re-stage impacted records
INC-009,MAP-02-02,UAT cycle 4,Low,Reference data,Open,2026-05-19,13,Downstream validation file cannot be certified,Confirm owner decision in STTM sheet,Refresh reference data and re-stage impacted records
INC-010,MAP-05-04,Sign-off review,Low,Reference data,Fix in progress,2026-05-15,13,Sign-off at risk for UAT cycle,Retest Snowflake audit after transform patch,Patch transform and rerun validation query
INC-011,MAP-05-05,Sign-off review,Low,Source defect,Open,2026-05-12,13,Stakeholder review requires exception note,Re-run load-ready to target reconciliation,Correct source extract filter and reload batch
INC-012,MAP-06-01,SIT exit,Low,Mapping decision,Owner assigned,2026-05-09,13,Downstream validation file cannot be certified,Publish exception note for stakeholder review,Patch transform and rerun validation query
INC-013,MAP-06-08,SIT exit,Low,Load sequencing,Ready for retest,2026-05-11,13,Development team needs clarified transformation rule,Retest Snowflake audit after transform patch,Correct source extract filter and reload batch
INC-014,MAP-01-07,Sign-off review,Low,Snowflake transform,Ready for retest,2026-05-15,12,Destination report would overstate converted volume,Publish exception note for stakeholder review,Patch transform and rerun validation query
INC-015,MAP-02-01,SIT exit,Low,Mapping decision,Owner assigned,2026-05-17,12,Development team needs clarified transformation rule,Publish exception note for stakeholder review,Patch transform and rerun validation query
INC-016,MAP-02-04,UAT cycle 4,Low,Mapping decision,Open,2026-05-10,12,Development team needs clarified transformation rule,Retest Snowflake audit after transform patch,Patch transform and rerun validation query
INC-017,MAP-04-06,Sign-off review,Low,Load sequencing,Ready for retest,2026-05-14,12,Destination report would overstate converted volume,Publish exception note for stakeholder review,Patch transform and rerun validation query
INC-018,MAP-05-01,Mock cutover,Low,Snowflake transform,Ready for retest,2026-05-11,12,Development team needs clarified transformation rule,Confirm owner decision in STTM sheet,"Update STTM rule, collect sign-off, and retest"
INC-019,MAP-05-01,UAT cycle 4,Low,Reference data,Open,2026-05-12,12,Sign-off at risk for UAT cycle,Retest Snowflake audit after transform patch,"Update STTM rule, collect sign-off, and retest"
INC-020,MAP-02-06,UAT cycle 4,Low,Source defect,Open,2026-05-12,11,Development team needs clarified transformation rule,Retest Snowflake audit after transform patch,Refresh reference data and re-stage impacted records
INC-021,MAP-04-07,Mock cutover,Low,Reference data,Open,2026-05-17,10,Downstream validation file cannot be certified,Re-run load-ready to target reconciliation,Refresh reference data and re-stage impacted records
INC-022,MAP-06-03,Sign-off review,Low,Snowflake transform,Ready for retest,2026-05-19,10,Development team needs clarified transformation rule,Re-run load-ready to target reconciliation,Patch transform and rerun validation query
