mapping_id,business_domain,source_system,source_table,source_field,target_object,target_field,data_type,criticality,mapping_complexity,transformation_rule,lineage_path,signoff_status,owner_group,google_sheet_tab
MAP-01-01,Customer Master,Legacy CRM,CRM_CUSTOMER_ACCOUNT,customer_id,CUSTOMER_DIM,customer_key,varchar,Critical,Derived,hash normalized legacy id,Legacy CRM > staging.crm_customer_account > load_ready.customer_dim > core.customer_dim,Pending business sign-off,Customer Ops,Customer STTM
MAP-01-02,Customer Master,Legacy CRM,CRM_CUSTOMER_ACCOUNT,legal_name,CUSTOMER_DIM,customer_name,number,Critical,Reference decode,"trim, title case, preserve suffix",Legacy CRM > staging.crm_customer_account > load_ready.customer_dim > core.customer_dim,Needs data owner decision,Customer Ops,Customer STTM
MAP-01-03,Customer Master,Legacy CRM,CRM_CUSTOMER_ACCOUNT,tax_id,CUSTOMER_DIM,tax_identifier,boolean,High,Currency conversion,mask where privacy flag is active,Legacy CRM > staging.crm_customer_account > load_ready.customer_dim > core.customer_dim,Needs data owner decision,Customer Ops,Customer STTM
MAP-01-04,Customer Master,Legacy CRM,CRM_CUSTOMER_ACCOUNT,customer_status_cd,CUSTOMER_DIM,customer_status,varchar,High,Direct,decode status reference table,Legacy CRM > staging.crm_customer_account > load_ready.customer_dim > core.customer_dim,Approved,Customer Ops,Customer STTM
MAP-01-05,Customer Master,Legacy CRM,CRM_CUSTOMER_ACCOUNT,primary_email,CUSTOMER_DIM,email_address,number,Critical,Lookup,lowercase and validate pattern,Legacy CRM > staging.crm_customer_account > load_ready.customer_dim > core.customer_dim,Approved,Customer Ops,Customer STTM
MAP-01-06,Customer Master,Legacy CRM,CRM_CUSTOMER_ACCOUNT,billing_state,CUSTOMER_DIM,billing_state_code,number,Medium,Derived,standardize to USPS two character code,Legacy CRM > staging.crm_customer_account > load_ready.customer_dim > core.customer_dim,Approved,Customer Ops,Customer STTM
MAP-01-07,Customer Master,Legacy CRM,CRM_CUSTOMER_ACCOUNT,created_ts,CUSTOMER_DIM,source_created_at,timestamp,Medium,Reference decode,convert local timestamp to UTC,Legacy CRM > staging.crm_customer_account > load_ready.customer_dim > core.customer_dim,Pending business sign-off,Customer Ops,Customer STTM
MAP-01-08,Customer Master,Legacy CRM,CRM_CUSTOMER_ACCOUNT,updated_ts,CUSTOMER_DIM,source_updated_at,varchar,High,Currency conversion,convert local timestamp to UTC,Legacy CRM > staging.crm_customer_account > load_ready.customer_dim > core.customer_dim,Pending business sign-off,Customer Ops,Customer STTM
MAP-02-01,Vendor Master,Procurement ERP,AP_VENDOR_PROFILE,vendor_num,VENDOR_DIM,vendor_key,number,Critical,Reference decode,left pad numeric key to 10 characters,Procurement ERP > staging.ap_vendor_profile > load_ready.vendor_dim > core.vendor_dim,Needs data owner decision,Procurement,Vendor STTM
MAP-02-02,Vendor Master,Procurement ERP,AP_VENDOR_PROFILE,vendor_name,VENDOR_DIM,vendor_name,date,Critical,Currency conversion,trim repeated spaces,Procurement ERP > staging.ap_vendor_profile > load_ready.vendor_dim > core.vendor_dim,Pending business sign-off,Procurement,Vendor STTM
MAP-02-03,Vendor Master,Procurement ERP,AP_VENDOR_PROFILE,payment_terms,VENDOR_DIM,payment_terms_code,date,High,Direct,map terms to target reference values,Procurement ERP > staging.ap_vendor_profile > load_ready.vendor_dim > core.vendor_dim,Approved,Procurement,Vendor STTM
MAP-02-04,Vendor Master,Procurement ERP,AP_VENDOR_PROFILE,active_flag,VENDOR_DIM,is_active,date,High,Lookup,convert Y or N to boolean,Procurement ERP > staging.ap_vendor_profile > load_ready.vendor_dim > core.vendor_dim,Approved,Procurement,Vendor STTM
MAP-02-05,Vendor Master,Procurement ERP,AP_VENDOR_PROFILE,remit_zip,VENDOR_DIM,remit_postal_code,boolean,Critical,Derived,standardize postal code,Procurement ERP > staging.ap_vendor_profile > load_ready.vendor_dim > core.vendor_dim,Needs data owner decision,Procurement,Vendor STTM
MAP-02-06,Vendor Master,Procurement ERP,AP_VENDOR_PROFILE,bank_country,VENDOR_DIM,bank_country_code,timestamp,High,Reference decode,map country name to ISO code,Procurement ERP > staging.ap_vendor_profile > load_ready.vendor_dim > core.vendor_dim,Approved,Procurement,Vendor STTM
MAP-02-07,Vendor Master,Procurement ERP,AP_VENDOR_PROFILE,last_invoice_dt,VENDOR_DIM,last_invoice_date,timestamp,Medium,Currency conversion,cast to date,Procurement ERP > staging.ap_vendor_profile > load_ready.vendor_dim > core.vendor_dim,Blocked by source defect,Procurement,Vendor STTM
MAP-02-08,Vendor Master,Procurement ERP,AP_VENDOR_PROFILE,tax_form_type,VENDOR_DIM,tax_form_type,boolean,High,Direct,default missing values to unknown,Procurement ERP > staging.ap_vendor_profile > load_ready.vendor_dim > core.vendor_dim,Approved,Procurement,Vendor STTM
MAP-03-01,Contracts,Contract Repository,CNTRCT_HEADER,contract_id,CONTRACT_FACT,contract_key,date,Critical,Currency conversion,hash source contract id,Contract Repository > staging.cntrct_header > load_ready.contract_fact > core.contract_fact,Needs data owner decision,Legal Ops,Contract STTM
MAP-03-02,Contracts,Contract Repository,CNTRCT_HEADER,customer_id,CONTRACT_FACT,customer_key,varchar,Critical,Direct,lookup customer dimension key,Contract Repository > staging.cntrct_header > load_ready.contract_fact > core.contract_fact,Pending business sign-off,Legal Ops,Contract STTM
MAP-03-03,Contracts,Contract Repository,CNTRCT_HEADER,effective_dt,CONTRACT_FACT,effective_date,date,High,Lookup,cast to date,Contract Repository > staging.cntrct_header > load_ready.contract_fact > core.contract_fact,Approved,Legal Ops,Contract STTM
MAP-03-04,Contracts,Contract Repository,CNTRCT_HEADER,expiration_dt,CONTRACT_FACT,expiration_date,varchar,Medium,Derived,cast to date,Contract Repository > staging.cntrct_header > load_ready.contract_fact > core.contract_fact,Needs data owner decision,Legal Ops,Contract STTM
MAP-03-05,Contracts,Contract Repository,CNTRCT_HEADER,contract_value,CONTRACT_FACT,contract_value_usd,timestamp,Critical,Reference decode,convert currency using close rate,Contract Repository > staging.cntrct_header > load_ready.contract_fact > core.contract_fact,Approved,Legal Ops,Contract STTM
MAP-03-06,Contracts,Contract Repository,CNTRCT_HEADER,renewal_notice_days,CONTRACT_FACT,renewal_notice_days,date,Medium,Currency conversion,coalesce null to 0,Contract Repository > staging.cntrct_header > load_ready.contract_fact > core.contract_fact,Approved,Legal Ops,Contract STTM
MAP-03-07,Contracts,Contract Repository,CNTRCT_HEADER,contract_type_cd,CONTRACT_FACT,contract_type,varchar,High,Direct,decode contract type reference table,Contract Repository > staging.cntrct_header > load_ready.contract_fact > core.contract_fact,Pending business sign-off,Legal Ops,Contract STTM
MAP-03-08,Contracts,Contract Repository,CNTRCT_HEADER,signed_flag,CONTRACT_FACT,is_signed,number,Medium,Lookup,convert Y or N to boolean,Contract Repository > staging.cntrct_header > load_ready.contract_fact > core.contract_fact,Approved,Legal Ops,Contract STTM
MAP-04-01,Payments,Billing Platform,PAYMENT_TXN,payment_id,PAYMENT_FACT,payment_key,timestamp,Critical,Direct,hash payment id and source system,Billing Platform > staging.payment_txn > load_ready.payment_fact > core.payment_fact,Approved,Finance,Payment STTM
MAP-04-02,Payments,Billing Platform,PAYMENT_TXN,invoice_id,PAYMENT_FACT,invoice_key,boolean,Critical,Lookup,lookup target invoice key,Billing Platform > staging.payment_txn > load_ready.payment_fact > core.payment_fact,Approved,Finance,Payment STTM
MAP-04-03,Payments,Billing Platform,PAYMENT_TXN,customer_id,PAYMENT_FACT,customer_key,varchar,High,Derived,lookup customer dimension key,Billing Platform > staging.payment_txn > load_ready.payment_fact > core.payment_fact,Approved,Finance,Payment STTM
MAP-04-04,Payments,Billing Platform,PAYMENT_TXN,payment_amt,PAYMENT_FACT,payment_amount_usd,date,High,Reference decode,convert currency using transaction rate,Billing Platform > staging.payment_txn > load_ready.payment_fact > core.payment_fact,Approved,Finance,Payment STTM
MAP-04-05,Payments,Billing Platform,PAYMENT_TXN,payment_dt,PAYMENT_FACT,payment_date,varchar,Critical,Currency conversion,cast to date,Billing Platform > staging.payment_txn > load_ready.payment_fact > core.payment_fact,Approved,Finance,Payment STTM
MAP-04-06,Payments,Billing Platform,PAYMENT_TXN,payment_method,PAYMENT_FACT,payment_method,date,High,Direct,"standardize card, ACH, wire, check",Billing Platform > staging.payment_txn > load_ready.payment_fact > core.payment_fact,Blocked by source defect,Finance,Payment STTM
MAP-04-07,Payments,Billing Platform,PAYMENT_TXN,reversal_flag,PAYMENT_FACT,is_reversal,timestamp,High,Lookup,convert Y or N to boolean,Billing Platform > staging.payment_txn > load_ready.payment_fact > core.payment_fact,Pending business sign-off,Finance,Payment STTM
