mapping_id,business_domain,source_field,target_field,criticality,mapping_complexity,signoff_status,recon_reconciliation_score,open_findings,readiness_score,gate_status,recommended_next_step
MAP-02-07,Vendor Master,last_invoice_dt,last_invoice_date,Medium,Currency conversion,Blocked by source defect,74.8,2,38.4,Needs source fix,"Assign source or transform owner, patch defect, and rerun Snowflake audit suite."
MAP-04-06,Payments,payment_method,payment_method,High,Direct,Blocked by source defect,82.0,2,56.8,Needs source fix,"Assign source or transform owner, patch defect, and rerun Snowflake audit suite."
MAP-02-05,Vendor Master,remit_zip,remit_postal_code,Critical,Derived,Needs data owner decision,88.1,2,59.6,Needs source fix,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-03-01,Contracts,contract_id,contract_key,Critical,Currency conversion,Needs data owner decision,92.5,2,61.3,Needs source fix,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-01-02,Customer Master,legal_name,customer_name,Critical,Reference decode,Needs data owner decision,91.6,2,62.8,Needs mapping decision,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-06-01,Asset Register,asset_id,asset_key,Critical,Derived,Needs data owner decision,93.9,2,63.2,Needs mapping decision,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-02-01,Vendor Master,vendor_num,vendor_key,Critical,Reference decode,Needs data owner decision,93.5,2,64.0,Needs mapping decision,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-01-03,Customer Master,tax_id,tax_identifier,High,Currency conversion,Needs data owner decision,92.6,2,64.4,Needs mapping decision,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-06-06,Asset Register,asset_class,asset_class,High,Derived,Needs data owner decision,91.6,2,64.8,Needs mapping decision,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-05-05,Work Orders,closed_ts,closed_at,Critical,Direct,Needs data owner decision,91.0,2,67.4,Needs mapping decision,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-06-07,Asset Register,location_id,location_key,Medium,Reference decode,Needs data owner decision,90.0,2,67.8,Needs mapping decision,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-03-04,Contracts,expiration_dt,expiration_date,Medium,Derived,Needs data owner decision,92.0,2,68.0,Needs mapping decision,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-06-08,Asset Register,depr_method,depreciation_method,Medium,Currency conversion,Needs data owner decision,95.7,1,69.3,Needs mapping decision,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-02-02,Vendor Master,vendor_name,vendor_name,Critical,Currency conversion,Pending business sign-off,95.7,2,71.3,Needs mapping decision,Keep in watch list and retest in the next load cycle.
MAP-01-01,Customer Master,customer_id,customer_key,Critical,Derived,Pending business sign-off,95.4,2,72.1,Needs mapping decision,Keep in watch list and retest in the next load cycle.
MAP-05-06,Work Orders,priority_cd,priority,Medium,Lookup,Needs data owner decision,95.8,2,72.4,Needs mapping decision,Run mapping workshop and record the approved business rule in the STTM workbook.
MAP-01-08,Customer Master,updated_ts,source_updated_at,High,Currency conversion,Pending business sign-off,94.5,2,73.6,Needs mapping decision,Keep in watch list and retest in the next load cycle.
MAP-06-02,Asset Register,serial_num,serial_number,Critical,Reference decode,Pending business sign-off,97.2,2,74.3,Watch,Keep in watch list and retest in the next load cycle.
MAP-05-01,Work Orders,work_order_id,work_order_key,Critical,Lookup,Pending business sign-off,97.0,2,75.1,Watch,Keep in watch list and retest in the next load cycle.
MAP-06-03,Asset Register,install_dt,install_date,Medium,Currency conversion,Pending business sign-off,94.6,2,76.7,Watch,Keep in watch list and retest in the next load cycle.
MAP-03-02,Contracts,customer_id,customer_key,Critical,Direct,Pending business sign-off,94.5,2,77.6,Watch,Keep in watch list and retest in the next load cycle.
MAP-04-07,Payments,reversal_flag,is_reversal,High,Lookup,Pending business sign-off,96.1,2,77.6,Watch,Keep in watch list and retest in the next load cycle.
MAP-01-07,Customer Master,created_ts,source_created_at,Medium,Reference decode,Pending business sign-off,95.7,1,79.3,Watch,Keep in watch list and retest in the next load cycle.
MAP-05-08,Work Orders,resolution_cd,resolution_code,Medium,Reference decode,Pending business sign-off,96.7,1,80.0,Watch,Keep in watch list and retest in the next load cycle.
MAP-04-05,Payments,payment_dt,payment_date,Critical,Currency conversion,Approved,97.5,0,82.5,Watch,Keep in watch list and retest in the next load cycle.
MAP-03-07,Contracts,contract_type_cd,contract_type,High,Direct,Pending business sign-off,98.3,1,82.9,Watch,Keep in watch list and retest in the next load cycle.
MAP-05-02,Work Orders,customer_id,customer_key,Critical,Derived,Approved,97.6,0,83.5,Watch,Keep in watch list and retest in the next load cycle.
MAP-03-05,Contracts,contract_value,contract_value_usd,Critical,Reference decode,Approved,96.4,2,83.8,Watch,Keep in watch list and retest in the next load cycle.
